channel	date	broadcast_start	broadcast_end	duration_min	pgm_title	brand	item_name	type	item_start	item_end	item_duration_min	sales_amt	category	lavangba_category	price	link
쇼핑엔티	20260701	03:37	03:57	20	예가 안전가드 서랍형 흙침대 카우치	예가	예가 안전가드 서랍형 흙침대 카우치	단순	03:37	03:57	20	-4147000	리빙/주방	가구/인테리어	1399000	https://www.shoppingntmall.com/display/goods/27967569
GS홈쇼핑 마이샵	20260701	03:37	03:42	5	르까프 26SS 최신상 남성 썸머 이지 조거팬츠 4종	르까프	르까프 26SS 최신상 남성 썸머 이지 조거팬츠 4종	단순	03:37	03:42	5	59000		패션의류	59000	https://www.gsshop.com/prd/prd.gs?prdid=1126814121&brddate=20260714045500&pgmID=12502&ordChannel=WE&tveshop=Y
KT알파쇼핑	20260701	03:38	04:13	35	닥터린_콘드로이친	닥터린	닥터린_콘드로이친	단순	03:38	04:13	35	1186000	건강식품	식품	329000	https://m.kshop.co.kr/display/product/8744654
신세계쇼핑	20260701	03:39	03:59	20	비어랩 맥주효모 비오틴 플러스 18박스 (36주분)	비어랩	비어랩 맥주효모 비오틴 플러스 18박스 (36주분)	단순	03:39	03:59	20	768000	건강식품	식품	256000	https://www.shinsegaetvshopping.com/display/detail/20068795
NS홈쇼핑 샵플러스	20260701	03:40	04:42	62	대상 뉴케어1	뉴케어	대상 뉴케어1	단순	03:40	04:42	62	10450600		식품	265050	https://m.nsmall.com/goods/35929323
현대홈쇼핑 플러스샵	20260701	03:40	04:20	40	신정애 원장의 싹빼 다이어트 환 4+1박스	신정애	신정애 원장의 싹빼 다이어트 환 4+1박스	단순	03:40	04:20	40	3069000		식품	98000	https://www.hmall.com/md/pda/itemPtc?slitmCd=2251617346
GS홈쇼핑 마이샵	20260701	03:42	03:47	5	엘레강스 파리 SPORT 26SS 여성 시어서커 카라 티셔츠 2종	엘레강스	엘레강스 파리 SPORT 26SS 여성 시어서커 카라 티셔츠 2종	단순	03:42	03:47	5	49000		패션의류	49000	https://www.gsshop.com/prd/prd.gs?prdid=1125702830&brddate=20260709073600&pgmID=12502&ordChannel=WE&tveshop=Y
CJ온스타일 플러스	20260701	03:45	03:55	10	24K 트리플 팬던트 목걸이	24K	24K 트리플 팬던트 목걸이	단순	03:45	03:55	10	1390000		패션잡화	1390000	https://display.cjonstyle.com/p/item/2087661264
홈앤쇼핑	20260701	03:45	04:50	65	[소개][LG가전+상품권 결합] 보람상조피플 스마트299(순환)	보람상조피플	[소개][LG가전+상품권 결합] 보람상조피플 스마트299(순환)	단순	03:45	04:50	65	0	가전	디지털/가전	0	http://www.hnsmall.com/display/goods.do?goods_code=79188644
CJ온스타일	20260701	03:45	04:00	15	[최초가 109,000원] 25FW 캐시미어 울블렌드 니트케이프가디건+베스트2종 [블랙 77 88/ 브라운77 88/ 오트밀 88 ONLY]	지스튜디오	[최초가 109,000원] 25FW 캐시미어 울블렌드 니트케이프가디건+베스트2종 [블랙 77 88/ 브라운77 88/ 오트밀 88 ONLY]	단순	03:45	04:00	15	436000	의류	패션의류	109000	https://display.cjonstyle.com/p/item/2066523991?channelCode=30002002
GS홈쇼핑 마이샵	20260701	03:47	03:53	6	뉴트리코어 하이퍼셀 PDRN 젤 크림 패키지	뉴트리코어	뉴트리코어 하이퍼셀 PDRN 젤 크림 패키지	단순	03:47	03:53	6	189000		화장품/미용	189000	https://www.gsshop.com/prd/prd.gs?prdid=1126784324&brddate=20260701034700&pgmID=6737&ordChannel=WE&tveshop=Y
롯데원티비	20260701	03:47	03:52	5	[락앤락] ● 락앤락 비스프리 온더테이블 16종 +세척솔 2종	락앤락	[락앤락] ● 락앤락 비스프리 온더테이블 16종 +세척솔 2종	단순	03:47	03:52	5	0		생활/건강	118000	https://www.lotteimall.com/goods/viewGoodsDetail.lotte?goods_no=12911521
SK스토아	20260701	03:51	04:11	20	이태리 슈렁큰 통가죽소파 3인용	이태리	이태리 슈렁큰 통가죽소파 3인용	단순	03:51	04:11	20	0	리빙/주방	가구/인테리어	2298000	https://www.skstoa.com/display/goods/64510105
SK스토아	20260701	03:51	04:11	20	60L 루셀 프리미엄 (UP-060)	이태리	이태리 슈렁큰 통가죽소파 3인용	복합	03:51	04:11	20	0	리빙/주방	가구/인테리어	2298000	https://www.skstoa.com/display/goods/64510105
SK스토아	20260701	03:51	04:11	20	60L 루셀 프리미엄 (UP-060)	루셀	루셀 프리미엄	복합	03:51	04:11	20	0	일반식품	생활/건강	2190000	https://www.skstoa.com/display/goods/59996204
롯데원티비	20260701	03:52	03:57	5	[락앤락] ○ 락앤락 비스프리 온더테이블 16종 +세척솔 2종	락앤락	[락앤락] ○ 락앤락 비스프리 온더테이블 16종 +세척솔 2종	단순	03:52	03:57	5	118000		생활/건강	118000	https://www.lotteimall.com/goods/viewGoodsDetail.lotte?goods_no=12911518
