상품대분류명,상품중분류명,상품소분류명,가격구간,전환율,취소율,반품율
인테리어,침구,침구용품,4_ 50~100만원,42.0%,45%,13.5%
언더웨어,보정속옷,거들/니퍼/올인원,2_ 10~30만원,47.9%,39%,13.4%
패션잡화,신발(명품),로퍼/컴포트화,2_ 10~30만원,58.7%,28%,13.4%
주방,조리기구,조리도구,2_ 10~30만원,63.8%,24%,13.4%
보석/장신구,쥬얼리,귀걸이,2_ 10~30만원,51.4%,36%,13.4%
패션잡화,지갑(명품),중지갑/반지갑,3_ 30~50만원,46.3%,42%,13.3%
서비스,여행,국내숙박,1_ 0~10만원,46.7%,41%,13.3%
생활/건강,건강,교정기구,1_ 0~10만원,66.5%,21%,13.2%
패션잡화,패션소품,워모,1_ 0~10만원,55.3%,33%,13.1%
스포츠/레저,스포츠의류,남성 스포츠 내의,1_ 0~10만원,68.5%,18%,13.1%
언더웨어,패션속옷,팬티,1_ 0~10만원,65.9%,21%,13.0%
패션의류,UNISEX캐쥬얼,상의,1_ 0~10만원,63.1%,25%,13.0%
패션의류,남성의류(명품),상의,1_ 0~10만원,60.6%,26%,13.0%
생활/건강,건강,건강관리용품,3_ 30~50만원,55.6%,31%,13.0%
패션잡화,가방,여행가방,1_ 0~10만원,61.8%,25%,12.9%
이미용,헤어케어,헤어기기,2_ 10~30만원,67.4%,22%,12.9%
스포츠/레저,스포츠용품,스포츠잡화,1_ 0~10만원,65.7%,22%,12.8%
스포츠/레저,스포츠화/운동화,슬리퍼,1_ 0~10만원,70.4%,19%,12.7%
스포츠/레저,골프웨어,남성 상의,1_ 0~10만원,67.6%,21%,12.6%
패션잡화,패션소품,우산,1_ 0~10만원,66.2%,22%,12.6%
보석/장신구,쥬얼리,반지,2_ 10~30만원,42.7%,46%,12.6%
패션의류,남성의류,상의,1_ 0~10만원,65.4%,23%,12.6%
보석/장신구,쥬얼리,팔찌,2_ 10~30만원,43.5%,45%,12.6%
